confidence_level,emotions_count
85.41265515748616,"{'happy': 3, 'neutral': 3, 'sad': 5}"
63.74787416176426,"{'happy': 1, 'neutral': 0, 'sad': 2}"
77.53928664500845,"{'happy': 3, 'neutral': 3, 'sad': 4}"
46.68000622583469,"{'happy': 2, 'neutral': 1, 'sad': 4}"
12.617339994909882,"{'happy': 4, 'neutral': 5, 'sad': 1}"
47.04002388486889,"{'happy': 5, 'neutral': 0, 'sad': 1}"
35.59984663692316,"{'happy': 2, 'neutral': 4, 'sad': 1}"
2.909400258992889,"{'happy': 1, 'neutral': 3, 'sad': 3}"
76.10178129333848,"{'happy': 1, 'neutral': 2, 'sad': 0}"
76.09943875982806,"{'happy': 4, 'neutral': 2, 'sad': 0}"
22.545744683112147,"{'happy': 5, 'neutral': 4, 'sad': 4}"
5.260582231552768,"{'happy': 4, 'neutral': 5, 'sad': 4}"
19.398586747957303,"{'happy': 0, 'neutral': 2, 'sad': 0}"
35.86541601774026,"{'happy': 2, 'neutral': 2, 'sad': 5}"
40.19679675813179,"{'happy': 4, 'neutral': 2, 'sad': 0}"
27.718540257408186,"{'happy': 1, 'neutral': 0, 'sad': 0}"
8.021835400081423,"{'happy': 3, 'neutral': 1, 'sad': 4}"
31.161673126132396,"{'happy': 4, 'neutral': 0, 'sad': 2}"
89.95060331694819,"{'happy': 2, 'neutral': 0, 'sad': 5}"
1.9894553811221627,"{'happy': 5, 'neutral': 3, 'sad': 5}"
54.88903868568682,"{'happy': 1, 'neutral': 5, 'sad': 2}"
73.88737142505614,"{'happy': 2, 'neutral': 2, 'sad': 3}"
5.741839888337985,"{'happy': 3, 'neutral': 2, 'sad': 5}"
95.56344435385944,"{'happy': 3, 'neutral': 5, 'sad': 3}"
95.21976579635374,"{'happy': 0, 'neutral': 2, 'sad': 5}"
27.391163205845004,"{'happy': 4, 'neutral': 4, 'sad': 5}"
52.117692213413406,"{'happy': 3, 'neutral': 0, 'sad': 2}"
55.74701574040547,"{'happy': 2, 'neutral': 4, 'sad': 3}"
23.541093679691393,"{'happy': 5, 'neutral': 4, 'sad': 2}"
48.93318280914454,"{'happy': 5, 'neutral': 1, 'sad': 0}"
80.91798025538603,"{'happy': 4, 'neutral': 4, 'sad': 4}"
72.76295494147693,"{'happy': 1, 'neutral': 3, 'sad': 4}"
37.24092265615791,"{'happy': 4, 'neutral': 4, 'sad': 4}"
12.811401437228021,"{'happy': 4, 'neutral': 2, 'sad': 5}"
32.519958790475364,"{'happy': 5, 'neutral': 2, 'sad': 0}"
0.08707330220620868,"{'happy': 5, 'neutral': 1, 'sad': 3}"
33.028589598439176,"{'happy': 2, 'neutral': 2, 'sad': 2}"
40.97322741161567,"{'happy': 1, 'neutral': 5, 'sad': 0}"
94.76577674174064,"{'happy': 3, 'neutral': 4, 'sad': 4}"
45.44818124826748,"{'happy': 5, 'neutral': 1, 'sad': 1}"
7.065562161306671,"{'happy': 0, 'neutral': 4, 'sad': 2}"
32.48963445717342,"{'happy': 3, 'neutral': 3, 'sad': 5}"
85.81205713047187,"{'happy': 1, 'neutral': 2, 'sad': 2}"
88.52590917933628,"{'happy': 2, 'neutral': 4, 'sad': 1}"
46.6202571474972,"{'happy': 3, 'neutral': 0, 'sad': 3}"
19.427498666293996,"{'happy': 5, 'neutral': 4, 'sad': 3}"
72.16974426728547,"{'happy': 0, 'neutral': 5, 'sad': 1}"
74.67418751811323,"{'happy': 0, 'neutral': 4, 'sad': 3}"
99.03670767856902,"{'happy': 1, 'neutral': 2, 'sad': 0}"
48.91083687041515,"{'happy': 0, 'neutral': 1, 'sad': 0}"
41.48521189683121,"{'happy': 5, 'neutral': 2, 'sad': 4}"
42.79900355080195,"{'happy': 1, 'neutral': 5, 'sad': 4}"
9.698795182973596,"{'happy': 2, 'neutral': 0, 'sad': 0}"
53.12113056891303,"{'happy': 1, 'neutral': 4, 'sad': 2}"
96.03582673461426,"{'happy': 0, 'neutral': 0, 'sad': 1}"
19.992720497937,"{'happy': 4, 'neutral': 4, 'sad': 0}"
37.10314530898644,"{'happy': 3, 'neutral': 5, 'sad': 3}"
67.51956913039419,"{'happy': 5, 'neutral': 0, 'sad': 4}"
87.7826136118571,"{'happy': 0, 'neutral': 5, 'sad': 2}"
35.93509111609988,"{'happy': 5, 'neutral': 4, 'sad': 1}"
25.0433554011687,"{'happy': 0, 'neutral': 1, 'sad': 3}"
39.86194115975932,"{'happy': 3, 'neutral': 5, 'sad': 0}"
93.97093011293478,"{'happy': 4, 'neutral': 4, 'sad': 2}"
73.19039662455867,"{'happy': 0, 'neutral': 4, 'sad': 1}"
55.26205675529311,"{'happy': 0, 'neutral': 1, 'sad': 1}"
93.58968350994188,"{'happy': 2, 'neutral': 3, 'sad': 2}"
85.99823901401034,"{'happy': 2, 'neutral': 4, 'sad': 0}"
62.85084175539215,"{'happy': 1, 'neutral': 0, 'sad': 3}"
43.32201359603126,"{'happy': 2, 'neutral': 2, 'sad': 2}"
85.92234289009026,"{'happy': 0, 'neutral': 1, 'sad': 3}"
90.91115049550379,"{'happy': 0, 'neutral': 4, 'sad': 0}"
87.82030762889728,"{'happy': 4, 'neutral': 2, 'sad': 2}"
10.54422696614985,"{'happy': 3, 'neutral': 3, 'sad': 1}"
57.03899435272929,"{'happy': 2, 'neutral': 3, 'sad': 3}"
